record_id,load_nm,fault_turns,fault_phase,blocks,alarms,block_alarm_rate,mean_score,max_score
external_dual_three_phase_flt1zu_load_0nm,0.0,1,u,8,2,0.25,3811.625518744502,14071.603798727187
external_dual_three_phase_flt1zu_load_10nm,10.0,1,u,8,1,0.125,1857.2854644892238,7193.085065439625
external_dual_three_phase_flt1zu_load_15nm,15.0,1,u,8,1,0.125,1656.783773460621,6142.647324267359
external_dual_three_phase_flt1zu_load_20nm,20.0,1,u,8,1,0.125,1563.5086308403954,5618.918188156869
external_dual_three_phase_flt1zu_load_25nm,25.0,1,u,8,1,0.125,1523.3551486463257,5377.3716894525605
external_dual_three_phase_flt1zu_load_30nm,30.0,1,u,8,1,0.125,1509.1650403937258,5237.317853560116
external_dual_three_phase_flt1zu_load_35nm,35.0,1,u,8,1,0.125,1495.2989325797168,5135.348596118523
external_dual_three_phase_flt1zu_load_5nm,5.0,1,u,8,2,0.25,2751.429369263061,11059.851356135494
external_dual_three_phase_flt2zv_load_0nm,0.0,2,v,8,5,0.625,10275.168368752067,21079.69216481857
external_dual_three_phase_flt2zv_load_10nm,10.0,2,v,8,1,0.125,2567.4647090950107,8430.498220153455
external_dual_three_phase_flt2zv_load_15nm,15.0,2,v,8,1,0.125,2211.3077410990795,7492.214016727533
external_dual_three_phase_flt2zv_load_20nm,20.0,2,v,8,1,0.125,2023.2333525183578,6990.415314186241
external_dual_three_phase_flt2zv_load_25nm,25.0,2,v,8,1,0.125,1911.0267240260182,6691.300749665164
external_dual_three_phase_flt2zv_load_30nm,30.0,2,v,8,1,0.125,1831.9941440455364,6378.891190582214
external_dual_three_phase_flt2zv_load_35nm,35.0,2,v,8,1,0.125,1794.9265766910285,6270.884952146452
external_dual_three_phase_flt2zv_load_5nm,5.0,2,v,8,2,0.25,3516.9123808921113,10524.096275105285
external_dual_three_phase_flt3zu_load_0nm,0.0,3,u,8,5,0.625,14607.383575388692,35090.04585261448
external_dual_three_phase_flt3zu_load_10nm,10.0,3,u,8,3,0.375,4509.263434467571,16722.929111199966
external_dual_three_phase_flt3zu_load_15nm,15.0,3,u,8,2,0.25,3431.731364506055,13079.104764994852
external_dual_three_phase_flt3zu_load_20nm,20.0,3,u,8,2,0.25,2866.485936357322,11015.05144936789
external_dual_three_phase_flt3zu_load_25nm,25.0,3,u,8,1,0.125,2455.2187106253796,9581.546945345155
external_dual_three_phase_flt3zu_load_30nm,30.0,3,u,8,1,0.125,2244.224838490278,8726.330154097215
external_dual_three_phase_flt3zu_load_35nm,35.0,3,u,8,1,0.125,2018.8552288951648,7885.6959257086555
external_dual_three_phase_flt3zu_load_5nm,5.0,3,u,8,3,0.375,7273.079629603747,24605.401987783458
external_dual_three_phase_flt4zv_load_0nm,0.0,4,v,8,5,0.625,8761.61451374359,16056.932698497638
external_dual_three_phase_flt4zv_load_10nm,10.0,4,v,8,2,0.25,2918.9123603826315,9047.303805339621
external_dual_three_phase_flt4zv_load_15nm,15.0,4,v,8,1,0.125,2554.9056395924545,8325.506932522754
external_dual_three_phase_flt4zv_load_20nm,20.0,4,v,8,1,0.125,2372.65204239528,7883.402365961719
external_dual_three_phase_flt4zv_load_25nm,25.0,4,v,8,1,0.125,2241.0898709694216,7660.49004894865
external_dual_three_phase_flt4zv_load_30nm,30.0,4,v,8,1,0.125,2187.6762862145365,7533.566701766351
external_dual_three_phase_flt4zv_load_35nm,35.0,4,v,8,1,0.125,2130.857788562972,7333.019629205017
external_dual_three_phase_flt4zv_load_5nm,5.0,4,v,8,2,0.25,3974.502571870546,11454.224109100123
external_dual_three_phase_flt5zu_load_0nm,0.0,5,u,8,5,0.625,16201.082398921355,34139.45791590328
external_dual_three_phase_flt5zu_load_10nm,10.0,5,u,8,3,0.375,4654.702531456471,14927.034111210873
external_dual_three_phase_flt5zu_load_15nm,15.0,5,u,8,2,0.25,3630.22561066113,12298.580332355516
external_dual_three_phase_flt5zu_load_20nm,20.0,5,u,8,2,0.25,3063.2652260931995,10727.427668579745
external_dual_three_phase_flt5zu_load_25nm,25.0,5,u,8,2,0.25,2749.38940999899,9781.55081053743
external_dual_three_phase_flt5zu_load_30nm,30.0,5,u,8,1,0.125,2534.004385595316,9236.571276397495
external_dual_three_phase_flt5zu_load_35nm,35.0,5,u,8,1,0.125,2284.489059514549,8069.58998951554
external_dual_three_phase_flt5zu_load_5nm,5.0,5,u,8,4,0.5,7983.63796008717,25615.368241352247
external_dual_three_phase_flt6zu_load_0nm,0.0,6,u,8,5,0.625,16243.797075700388,31962.921791355297
external_dual_three_phase_flt6zu_load_10nm,10.0,6,u,8,3,0.375,4877.36259279923,15284.187114685892
external_dual_three_phase_flt6zu_load_15nm,15.0,6,u,8,2,0.25,3820.319770781435,12711.348574499496
external_dual_three_phase_flt6zu_load_20nm,20.0,6,u,8,2,0.25,3205.423786585302,11104.817600101169
external_dual_three_phase_flt6zu_load_25nm,25.0,6,u,8,2,0.25,2859.248994620259,10178.581253574597
external_dual_three_phase_flt6zu_load_30nm,30.0,6,u,8,2,0.25,2645.2130131160407,9463.362896174742
external_dual_three_phase_flt6zu_load_35nm,35.0,6,u,8,1,0.125,2373.9280852488473,8339.401607931946
external_dual_three_phase_flt6zu_load_5nm,5.0,6,u,8,4,0.5,8529.608960535334,27246.693483267103
